Wavelength,Response
0.0,1.0
1.000010000100001,1.0
2.000020000200002,1.0
3.000030000300003,1.0
4.000040000400004,1.0
5.000050000500005,1.0
6.000060000600006,1.0
7.000070000700006,1.0
8.000080000800008,1.0
9.000090000900009,1.0
10.00010000100001,1.0
11.00011000110001,1.0
12.000120001200012,1.0
13.000130001300013,1.0
14.000140001400013,1.0
15.000150001500014,1.0
16.000160001600015,1.0
17.000170001700017,1.0
18.000180001800018,1.0
19.00019000190002,1.0
20.00020000200002,1.0
21.00021000210002,1.0
22.00022000220002,1.0
23.00023000230002,1.0
24.000240002400023,1.0
25.000250002500024,1.0
26.000260002600026,1.0
27.000270002700027,1.0
28.000280002800025,1.0
29.000290002900027,1.0
30.000300003000028,1.0
31.00031000310003,1.0
32.00032000320003,1.0
33.00033000330003,1.0
34.000340003400034,1.0
35.00035000350003,1.0
36.000360003600036,1.0
37.000370003700034,1.0
38.00038000380004,1.0
39.00039000390004,1.0
40.00040000400004,1.0
41.00041000410004,1.0
42.00042000420004,1.0
43.00043000430004,1.0
44.00044000440004,1.0
45.000450004500046,1.0
46.00046000460004,1.0
47.00047000470005,1.0
48.000480004800046,1.0
49.000490004900044,1.0
50.00050000500005,1.0
51.00051000510005,1.0
52.00052000520005,1.0
53.00053000530005,1.0
54.000540005400055,1.0
55.00055000550005,1.0
56.00056000560005,1.0
57.000570005700055,1.0
58.00058000580005,1.0
59.00059000590006,1.0
60.000600006000056,1.0
61.00061000610006,1.0
62.00062000620006,1.0
63.000630006300064,1.0
64.00064000640006,1.0
65.00065000650007,1.0
66.00066000660006,1.0
67.00067000670006,1.0
68.00068000680007,1.0
69.00069000690007,1.0
70.00070000700006,1.0
71.00071000710007,1.0
72.00072000720007,1.0
73.00073000730006,1.0
74.00074000740007,1.0
75.00075000750007,1.0
76.00076000760008,1.0
77.00077000770007,1.0
78.00078000780007,1.0
79.00079000790008,1.0
80.00080000800008,1.0
81.00081000810007,1.0
82.00082000820008,1.0
83.00083000830008,1.0
84.00084000840008,1.0
85.00085000850008,1.0
86.00086000860009,1.0
87.00087000870009,1.0
88.00088000880008,1.0
89.00089000890009,1.0
90.00090000900009,1.0
91.00091000910008,1.0
92.00092000920009,1.0
93.00093000930009,1.0
94.0009400094001,1.0
95.00095000950009,1.0
96.00096000960009,1.0
97.0009700097001,1.0
98.00098000980009,1.0
99.0009900099001,1.0
100.0010000100001,1.0
101.0010100101001,1.0
102.0010200102001,1.0
103.0010300103001,1.0
104.0010400104001,1.0
105.0010500105001,1.0
106.0010600106001,1.0
107.0010700107001,1.0
108.00108001080011,1.0
109.0010900109001,1.0
110.0011000110001,1.0
111.00111001110011,1.0
112.0011200112001,1.0
113.0011300113001,1.0
114.00114001140011,1.0
115.00115001150012,1.0
116.0011600116001,1.0
117.00117001170011,1.0
118.00118001180012,1.0
119.00119001190012,1.0
120.00120001200011,1.0
121.00121001210012,1.0
122.00122001220012,1.0
123.00123001230011,1.0
124.00124001240012,1.0
125.00125001250012,1.0
126.00126001260013,1.0
127.00127001270012,1.0
128.00128001280012,1.0
129.0012900129001,1.0
130.00130001300013,1.0
131.00131001310012,1.0
132.00132001320011,1.0
133.00133001330013,1.0
134.00134001340012,1.0
135.00135001350014,1.0
136.00136001360013,1.0
137.00137001370013,1.0
138.00138001380014,1.0
139.00139001390014,1.0
140.00140001400013,1.0
141.00141001410014,1.0
142.00142001420014,1.0
143.00143001430013,1.0
144.00144001440015,1.0
145.00145001450014,1.0
146.00146001460013,1.0
147.00147001470015,1.0
148.00148001480014,1.0
149.00149001490016,1.0
150.00150001500015,1.0
151.00151001510014,1.0
152.00152001520016,1.0
153.00153001530015,1.0
154.00154001540014,1.0
155.00155001550016,1.0
156.00156001560015,1.0
157.00157001570014,1.0
158.00158001580016,1.0
159.00159001590015,1.0
160.00160001600017,1.0
161.00161001610016,1.0
162.00162001620015,1.0
163.00163001630017,1.0
164.00164001640016,1.0
165.00165001650015,1.0
166.00166001660017,1.0
167.00167001670016,1.0
168.00168001680015,1.0
169.00169001690017,1.0
170.00170001700016,1.0
171.00171001710015,1.0
172.00172001720017,1.0
173.00173001730016,1.0
174.00174001740018,1.0
175.00175001750017,1.0
176.00176001760016,1.0
177.00177001770018,1.0
178.00178001780017,1.0
179.00179001790016,1.0
180.00180001800018,1.0
181.00181001810017,1.0
182.00182001820016,1.0
183.00183001830018,1.0
184.00184001840017,1.0
185.00185001850016,1.0
186.00186001860018,1.0
187.00187001870017,1.0
